Hugh C. Williams Senior High School,,NY
Hume-Fogg Magnet High School,,TN
Hun School of Princeton,,NJ
Hunter College High School,,NY
Huntington Beach High School,,CA
Huntington High School,,NY
Huntington High School,,WV
Huntington Middle School,,CA
Huntington Middle School,,WV
Huntley High School,,IL
Huntley Project School,,MT
Huron High School,,MI
Hyde Park Middle School Academy of Science and Mathematics,,NV
ILM Academy,,GA
Idaho Arts Charter School,,ID
Idaho Fine Arts Academy,,ID
Immaculate Heart Academy,,NJ
Independence Middle School,,DE
Indian Trail High School and Academy,,WI
Inglemoor High School,,WA
Inglewood Middle School,,WA
Innovations STEM Academy,,WI
Interlake High School,,WA
International Academy Central,,MI
International Academy East,,MI
International Academy West,,MI
International Community School,,WA
Irmo High School,,SC
Irmo Middle School,,SC
Irondale High School,,MN
Iroquois Middle School,,MI
Irvine High School,,CA
Irving A. Robbins Middle School,,CT
Irvington High School,,CA
Isaac Bear Early College High School,,NC
Islamic Academy,,DE
Island Trees High School,,NY
Islander Middle School,,WA
Islip High School,,NY
Islip Middle School,,NY
Ithaca High School,,MI
Ithaca High School,,NY
J. Michael Lunsford Middle School,,VA
J.C. Booth Middle School,,GA
J.C. McKenna Middle School,,WI
J.E.B. Stuart High School,,VA
J.L. Mann High School,,SC
J.M. Alexander Middle School,,NC
J.R. Fugett Middle School,,PA
J.R. Tucker High School,,VA
Jackson Creek Middle School,,IN
James B. Conant High School,,IL
James C. Enochs High School,,CA
James L. Day Middle School,,CA
James Madison High School,,VA
James Madison Memorial High School,,WI
James Wilson Young Middle School,,NY
Jamestown High School,,VA
Jamestown Lawn School,,RI
Jamesville-Dewitt High School,,NY
Jay M. Robinson Middle School,,NC
Jefferson Charter Academy,,CA
Jefferson High School,,MT
Jefferson Middle School,,MI
Jeffrey Trail Middle School,,CA
Jenison Junior High School,,MI
Jenkins Junior/Senior High School,,WA
Jericho High School,,NY
Jericho Middle School,,NY
Joaquin Miller Middle School,,CA
John Champe High School,,VA
John F. Kennedy Catholic High School,,NY
John F. Kennedy High School,Bellmore,NY
John F. Kennedy High School,Bloomington,MN
John F. Kennedy Memorial High School,,NJ
John Gomes Elementary School,,CA
John Hersey High School,,IL
John Jay High School,Cross River,NY
John Jay High School,Hopewell Junction,NY
John Marshall High School,,MN
John Muir Middle School,Wausau,WI
John P. Stevens High School,,NJ
John Sevier Middle School,,TN
Johns Creek High School,,GA
Johnson Creek Middle School,,WI
Joliet High School,,MT
Joliet Middle School,,MT
Jonas E. Salk Middle School,,NY
Jonathan Law High School,,CT
Jordan High School,,NC
Jordan-Elbridge High School,,NY
Joseph A. Foran High School,,CT
Julia R. Masterman Laboratory and Demonstration School,,PA
Justice High School,,VA
Kahler Middle School,,IN
Kaiyo Academy,,JP
Kamiak High School,,WA
Kamiakin Middle School,,WA
Kane Area High School,,PA
Kane Area Middle School,,PA
Kate Bond Middle School,,TN
Kealing Middle School,,TX
Keene Central School,,NY
Kellenberg Memorial High School,,NY
Kelly Walsh High School,,WY
Kenmore West High School,,NY
Kennedy Middle School,,CA
Kenosha STEM Middle School,,WI
Kenston High School,,OH
Kenston Middle School,,OH
Kent Gardens Elementary School,,VA
Kent Place School,,NJ
Kenwood Trail Middle School,,MN
Kickemuit Middle School,,RI
